data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201603,JAKARTA SELATAN,Jagakarsa,LENTENG AGUNG,20 - 70,0,0.0,0,70.0
201603,JAKARTA SELATAN,Jagakarsa,SRENGSENG SAWAH,30 - 100,8,0.0,0,100.0
201603,JAKARTA SELATAN,Jagakarsa,TANJUNG BARAT,100,0,0.0,0,100.0
201603,JAKARTA SELATAN,Kebayoran Baru,CIPETE UTARA,40 - 50,0,0.0,0,50.0
201603,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,80,0,0.0,0,80.0
201603,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,5 - 40,0,0.0,0,40.0
201603,JAKARTA SELATAN,Kebayoran Lama,KEBAYORAN LAMA UTARA,20 - 30,0,0.0,0,30.0
201603,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,80,0,0.0,0,80.0
201603,JAKARTA SELATAN,Mampang Prapatan,BANGKA,20 - 30,0,0.0,0,30.0
201603,JAKARTA SELATAN,Pancoran,KALIBATA,30 - 100,0,0.0,0,100.0
201603,JAKARTA SELATAN,Pancoran,PENGADENGAN,20 - 70,521,0.0,0,70.0
201603,JAKARTA SELATAN,Pancoran,RAWAJATI,20 - 100,675,0.0,0,100.0
201603,JAKARTA SELATAN,Pasar Minggu,CILANDAK TIMUR,30 - 80,85,30.0,0,80.0
201603,JAKARTA SELATAN,Pasar Minggu,JATIPADANG,30 - 150,700,365.0,0,150.0
201603,JAKARTA SELATAN,Pasar Minggu,KEBAGUSAN,50 - 130,1452,0.0,0,130.0
201603,JAKARTA SELATAN,Pasar Minggu,PEJATEN BARAT,30 - 120,1252,1222.0,0,120.0
201603,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,100 - 250,1584,0.0,0,250.0
201603,JAKARTA SELATAN,Tebet,BUKIT DURI,20 - 80,4362,0.0,0,80.0
201603,JAKARTA SELATAN,Tebet,KEBON BARU,30 - 60,500,0.0,0,60.0
201603,JAKARTA TIMUR,Cipayung,BAMBU APUS,50 - 90,0,0.0,0,90.0
201603,JAKARTA TIMUR,Cipayung,CILANGKAP,10 - 70,0,0.0,0,70.0
201603,JAKARTA TIMUR,Cipayung,LUBANG BUAYA,40 - 50,340,0.0,0,50.0
201603,JAKARTA TIMUR,Cipayung,SETU,30 - 40,0,0.0,0,40.0
201603,JAKARTA TIMUR,Ciracas,CIBUBUR,30 - 80,0,0.0,0,80.0
201603,JAKARTA TIMUR,Ciracas,RAMBUTAN,20 - 120,1755,238.0,0,120.0
201603,JAKARTA TIMUR,Jatinegara,BIDARA CINA,20 - 100,2256,36.0,0,100.0
201603,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,100 - 125,2066,0.0,0,125.0
201603,JAKARTA TIMUR,Kramat Jati,BALE KAMBANG,20 - 100,934,0.0,0,100.0
201603,JAKARTA TIMUR,Kramat Jati,BATU AMPAR,50,0,0.0,0,50.0
201603,JAKARTA TIMUR,Kramat Jati,CAWANG,80 - 360,5899,85.0,0,360.0
201603,JAKARTA TIMUR,Kramat Jati,CILILITAN,20 - 200,1067,129.0,0,200.0
201603,JAKARTA TIMUR,Kramat Jati,DUKUH,30 - 150,861,0.0,0,150.0
201603,JAKARTA TIMUR,Kramat Jati,KAMPUNG TENGAH,100,0,0.0,0,100.0
201603,JAKARTA TIMUR,Kramat Jati,KRAMAT JATI,20,40,40.0,0,20.0
201603,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,20 - 180,600,600.0,0,180.0
201603,JAKARTA TIMUR,Makasar,HALIM PERDANA KUSUMA,50 - 100,0,0.0,0,100.0
201610,JAKARTA BARAT,Kembangan,KEMBANGAN SELATAN,50,0,0.0,0,50.0
201610,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,50 - 80,10,0.0,0,80.0
201610,JAKARTA SELATAN,Cilandak,PONDOK LABU,10 - 40,0,0.0,0,40.0
201610,JAKARTA SELATAN,Cilandak,CIPETE SELATAN,20 - 40,0,0.0,0,40.0
201610,JAKARTA SELATAN,Jagakarsa,CIPEDAK,10 - 30,0,0.0,0,30.0
201610,JAKARTA SELATAN,Kebayoran Baru,GANDARIA UTARA,10 - 30,0,0.0,0,30.0
201610,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,90,0,0.0,0,90.0
201610,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,60,0,0.0,0,60.0
201610,JAKARTA SELATAN,Kebayoran Lama,KEBAYORAN LAMA UTARA,30 - 40,0,0.0,0,40.0
201610,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,10 - 40,0,0.0,0,40.0
201610,JAKARTA SELATAN,Mampang Prapatan,BANGKA,80,0,0.0,0,80.0
201610,JAKARTA SELATAN,Mampang Prapatan,PELA MAMPANG,20 - 40,0,0.0,0,40.0
201610,JAKARTA SELATAN,Pancoran,KALIBATA,50,0,0.0,0,50.0
201610,JAKARTA SELATAN,Pasar Minggu,CILANDAK TIMUR,20 - 40,0,0.0,0,40.0
201610,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,10 - 90,270,0.0,0,90.0
201610,JAKARTA SELATAN,Tebet,BUKIT DURI,10 - 20,0,0.0,0,20.0
201610,JAKARTA TIMUR,Jatinegara,BIDARA CINA,20,0,0.0,0,20.0
201610,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,50 - 100,80,0.0,0,100.0
201610,JAKARTA TIMUR,Kramat Jati,CAWANG,30 - 100,3234,0.0,0,100.0
201610,JAKARTA TIMUR,Kramat Jati,CILILITAN,50 - 90,246,0.0,0,90.0
201609,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,170,135,20.0,0,170.0
201609,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,10 - 95,780,9.0,0,95.0
201609,JAKARTA SELATAN,Kebayoran Lama,KEBAYORAN LAMA UTARA,10 - 30,0,0.0,0,30.0
201609,JAKARTA SELATAN,Mampang Prapatan,BANGKA,20 - 150,270,270.0,0,150.0
201609,JAKARTA SELATAN,Pancoran,RAWAJATI,10 - 20,0,0.0,0,20.0
201609,JAKARTA SELATAN,Pancoran,KALIBATA,30 - 50,0,0.0,0,50.0
201609,JAKARTA SELATAN,Pancoran,DUREN TIGA,50 - 60,0,0.0,0,60.0
201609,JAKARTA SELATAN,Pancoran,PANCORAN,10 - 30,0,0.0,0,30.0
201609,JAKARTA SELATAN,Tebet,BUKIT DURI,10 - 40,0,0.0,0,40.0
201609,JAKARTA SELATAN,Cilandak,PONDOK LABU,30 - 50,0,0.0,0,50.0
