year,city_admin,subdistrict,ward,hazard_index,hazard_category
2023,KOTA ADM. JAKARTA TIMUR,Makasar,PINANG RANTI,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,CIJANTUNG,1.4,RENDAH
2023,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,JATINEGARA KAUM,1.6,SEDANG
2023,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,PISANGAN TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Cilincing,CILINCING,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Cilincing,KALIBARU,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Cilincing,MARUNDA,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Cilincing,SEMPER BARAT,1.8,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Cilincing,SEMPER TIMUR,1.8,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Cilincing,SUKAPURA,1.8,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Kelapa Gading,KELAPA GADING BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Kelapa Gading,KELAPA GADING TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Kelapa Gading,PEGANGSAAN DUA,1.6,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Koja,LAGOA,1.6,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Koja,RAWA BADAK SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Koja,TUGU UTARA,1.6,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Pademangan,ANCOL,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Pademangan,PADEMANGAN BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Pademangan,PADEMANGAN TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Penjaringan,KAMAL MUARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Penjaringan,PEJAGALAN,2.2,TINGGI
2023,KOTA ADM. JAKARTA UTARA,Penjaringan,PENJARINGAN,1.8,SEDANG
2023,KOTA ADM. JAKARTA UTARA,Tanjung Priok,KEBON BAWANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Tanjung Priok,SUNGAI BAMBU,1.4,RENDAH
2023,KOTA ADM. JAKARTA UTARA,Tanjung Priok,TANJUNG PRIOK,1.4,RENDAH
